关系ID,关系类型,计算权重,起始节点ID,起始节点名称,起始节点类型,起始节点社区,终止节点ID,终止节点名称,终止节点类型,终止节点社区,是否跨社区
LR581472,包含,0.2,LE224319,第一章,Chapter,0,LE390385,第六条,Section,0,否
LR848963,包含,0.2,LE224319,第一章,Chapter,0,LE962395,第五条,Section,3,是
LR951877,包含,0.2,LE224319,第一章,Chapter,0,LE994042,第四条,Section,3,是
LR531146,包含,0.2,LE224319,第一章,Chapter,0,LE188216,第三条,Section,0,否
LR549008,包含,0.2,LE224319,第一章,Chapter,0,LE082068,第二条,Section,0,否
LR670401,包含,0.2,LE224319,第一章,Chapter,0,LE636150,第一条,Section,10,是
LR068487,包含,0.2,LE181498,第四章,Chapter,0,LE762522,第二十五条,Section,0,否
LR626549,包含,0.2,LE181498,第四章,Chapter,0,LE450106,第二十三条,Section,0,否
LR601496,包含,0.2,LE181498,第四章,Chapter,0,LE478273,第二十二条,Section,0,否
LR730215,包含,0.2,LE181498,第四章,Chapter,0,LE223063,第二十条,Section,0,否
LR037527,包含,0.2,LE181498,第四章,Chapter,0,LE016086,第十九条,Section,0,否
LR621769,包含,0.2,LE181498,第四章,Chapter,0,LE884992,第二十四条,Section,0,否
LR416062,包含,0.2,LE181498,第四章,Chapter,0,LE103135,第二十一条,Section,0,否
LR438707,规定行为,0.15,LE018915,第十六条,Section,0,LE437955,归还银行贷款,Action,0,否
LR917418,规定行为,0.15,LE018915,第十六条,Section,0,LE503969,补充流动资金,Action,0,否
LR753163,包含责任方,0.95,LE018915,第十六条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR730783,规定行为,0.15,LE783261,第七条,Section,0,LE194339,集中管理,Action,0,否
LR244819,包含责任方,0.95,LE783261,第七条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR431769,包含,0.2,LE183658,第五章,Chapter,0,LE279862,第二十九条,Section,0,否
LR216018,包含,0.2,LE183658,第五章,Chapter,0,LE094382,第二十八条,Section,0,否
LR413867,包含,0.2,LE183658,第五章,Chapter,0,LE977114,第二十七条,Section,0,否
LR661980,包含,0.2,LE183658,第五章,Chapter,0,LE957794,第二十六条,Section,0,否
LR849582,规定行为,0.15,LE012322,第十七条,Section,0,LE584323,公告,Action,0,否
LR772358,包含监管机构,0.15,LE012322,第十七条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR515090,规定行为,0.15,LE012322,第十七条,Section,0,LE834952,报告,Action,0,否
LR470547,包含责任方,0.95,LE012322,第十七条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR842507,包含责任方,0.95,LE012322,第十七条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR912604,包含责任方,0.95,LE012322,第十七条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR378704,规定行为,0.15,LE012322,第十七条,Section,0,LE460253,审议通过,Action,0,否
LR784734,包含责任方,0.95,LE012322,第十七条,Section,0,LE051127,股东大会,PartyWithResponsibility,0,否
LR680830,包含责任方,0.95,LE012322,第十七条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR429577,包含责任方,0.95,LE012322,第十七条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR087096,规定行为,0.15,LE012322,第十七条,Section,0,LE437955,归还银行贷款,Action,0,否
LR813631,规定行为,0.15,LE012322,第十七条,Section,0,LE503969,补充流动资金,Action,0,否
LR507292,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE624850,第六章,Chapter,0,否
LR149592,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE183658,第五章,Chapter,0,否
LR723262,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE181498,第四章,Chapter,0,否
LR034517,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE794738,第三章,Chapter,0,否
LR652679,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE342738,第二章,Chapter,0,否
LR890840,包含,0.2,LE624835,上海证券交易所上市公司募集资金管理办法,Title,0,LE224319,第一章,Chapter,0,否
LR829126,受限于,0.15,LE941076,报告本所,Action,0,LE173324,不得变相改变募集资金用途,Restriction,0,否
LR485629,执行,1.0,LE216832,监事,PartyWithResponsibility,3,LE637601,违反本办法,Action,3,否
LR513462,执行,1.0,LE216832,监事,PartyWithResponsibility,3,LE880614,纵容,Action,3,否
LR082964,执行,1.0,LE216832,监事,PartyWithResponsibility,3,LE970998,协助,Action,3,否
LR363568,执行,1.0,LE216832,监事,PartyWithResponsibility,3,LE061879,参与,Action,3,否
LR431712,履行,1.0,LE216832,监事,PartyWithResponsibility,3,LE312170,自觉维护上市公司募集资金安全,Responsibility,3,否
LR497034,履行,1.0,LE216832,监事,PartyWithResponsibility,3,LE289501,督促上市公司规范使用募集资金,Responsibility,3,否
LR197298,履行,1.0,LE216832,监事,PartyWithResponsibility,3,LE636456,应当勤勉尽责,Responsibility,3,否
LR661203,规定行为,0.15,LE261806,第十五条,Section,0,LE584323,公告,Action,0,否
LR121503,规定行为,0.15,LE261806,第十五条,Section,0,LE941076,报告本所,Action,0,否
LR335139,包含责任方,0.95,LE261806,第十五条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR441430,包含责任方,0.95,LE261806,第十五条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR793742,包含责任方,0.95,LE261806,第十五条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR995159,规定行为,0.15,LE261806,第十五条,Section,0,LE906433,暂时用于补充流动资金,Action,0,否
LR467915,包含责任方,0.95,LE261806,第十五条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR348400,受限于,0.15,LE655633,进行现金管理,Action,0,LE435602,投资产品不得质押,Restriction,0,否
LR652920,受限于,0.15,LE655633,进行现金管理,Action,0,LE888172,不得影响募集资金投资计划正常进行,Restriction,0,否
LR546051,受限于,0.15,LE584323,公告,Action,0,LE173324,不得变相改变募集资金用途,Restriction,0,否
LR369931,受限于,0.15,LE584323,公告,Action,0,LE435602,投资产品不得质押,Restriction,0,否
LR833239,受限于,0.15,LE584323,公告,Action,0,LE888172,不得影响募集资金投资计划正常进行,Restriction,0,否
LR807498,规定行为,0.15,LE994042,第四条,Section,3,LE880614,纵容,Action,3,否
LR289481,规定行为,0.15,LE994042,第四条,Section,3,LE970998,协助,Action,3,否
LR502489,规定行为,0.15,LE994042,第四条,Section,3,LE061879,参与,Action,3,否
LR097049,包含责任方,0.95,LE994042,第四条,Section,3,LE522310,高级管理人员,PartyWithResponsibility,3,否
LR457711,包含责任方,0.95,LE994042,第四条,Section,3,LE216832,监事,PartyWithResponsibility,3,否
LR350883,包含责任方,0.95,LE994042,第四条,Section,3,LE176946,董事,PartyWithResponsibility,3,否
LR540029,受限于,0.15,LE203453,注销产品专用结算账户,Action,0,LE435602,投资产品不得质押,Restriction,0,否
LR846844,受限于,0.15,LE203453,注销产品专用结算账户,Action,0,LE888172,不得影响募集资金投资计划正常进行,Restriction,0,否
LR621290,包含责任方,0.95,LE279862,第二十九条,Section,0,LE931556,上市公司董事会,PartyWithResponsibility,0,否
LR755864,规定行为,0.15,LE279862,第二十九条,Section,0,LE977841,出具专项核查报告,Action,0,否
LR615581,包含责任方,0.95,LE279862,第二十九条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR038112,执行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE584323,公告,Action,0,否
LR493259,执行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE834952,报告,Action,0,否
LR571075,履行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE741634,发表明确同意意见,Responsibility,0,否
LR886366,履行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE672073,为股东提供网络投票表决方式,Responsibility,0,否
LR058053,执行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE460253,审议通过,Action,0,否
LR439112,执行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE437955,归还银行贷款,Action,0,否
LR186855,执行,1.0,LE051127,股东大会,PartyWithResponsibility,0,LE503969,补充流动资金,Action,0,否
LR571408,包含,0.2,LE794738,第三章,Chapter,0,LE844605,第十八条,Section,0,否
LR943388,包含,0.2,LE794738,第三章,Chapter,0,LE012322,第十七条,Section,0,否
LR573708,包含,0.2,LE794738,第三章,Chapter,0,LE018915,第十六条,Section,0,否
LR281211,包含,0.2,LE794738,第三章,Chapter,0,LE261806,第十五条,Section,0,否
LR067077,包含,0.2,LE794738,第三章,Chapter,0,LE515261,第十四条,Section,0,否
LR017501,包含,0.2,LE794738,第三章,Chapter,0,LE560233,第十三条,Section,0,否
LR206779,包含,0.2,LE794738,第三章,Chapter,0,LE822261,第十二条,Section,0,否
LR291308,包含,0.2,LE794738,第三章,Chapter,0,LE261137,第十一条,Section,0,否
LR993157,包含,0.2,LE794738,第三章,Chapter,0,LE629586,第十条,Section,0,否
LR250502,包含监管机构,0.15,LE747047,第三十一条,Section,3,LE074201,中国证监会,RegulatoryAuthority,5,是
LR129590,依据,0.3,LE747047,第三十一条,Section,3,LE074530,《上海证券交易所股票上市规则》,Law,10,是
LR257354,规定行为,0.15,LE747047,第三十一条,Section,3,LE637601,违反本办法,Action,3,否
LR913322,包含责任方,0.95,LE747047,第三十一条,Section,3,LE818240,会计师事务所,PartyWithResponsibility,0,是
LR191117,包含责任方,0.95,LE747047,第三十一条,Section,3,LE115461,保荐机构,PartyWithResponsibility,0,是
LR750312,包含责任方,0.95,LE747047,第三十一条,Section,3,LE522310,高级管理人员,PartyWithResponsibility,3,否
LR639452,包含责任方,0.95,LE747047,第三十一条,Section,3,LE216832,监事,PartyWithResponsibility,3,否
LR810846,包含责任方,0.95,LE747047,第三十一条,Section,3,LE176946,董事,PartyWithResponsibility,3,否
LR194146,包含责任方,0.95,LE747047,第三十一条,Section,3,LE330515,实际控制人,PartyWithResponsibility,3,否
LR014519,包含责任方,0.95,LE747047,第三十一条,Section,3,LE969417,控股股东,PartyWithResponsibility,3,否
LR909359,包含责任方,0.95,LE747047,第三十一条,Section,3,LE526783,上市公司,PartyWithResponsibility,0,是
LR187275,履行,1.0,LE609526,董事会审计委员会,PartyWithResponsibility,0,LE826607,应当予以积极配合,Responsibility,0,否
LR276446,履行,1.0,LE609526,董事会审计委员会,PartyWithResponsibility,0,LE888052,应当持续关注募集资金实际管理与使用情况,Responsibility,0,否
LR442712,规定行为,0.15,LE188216,第三条,Section,0,LE907041,披露,Action,0,否
LR461000,包含监管机构,0.15,LE188216,第三条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR693616,规定行为,0.15,LE188216,第三条,Section,0,LE106996,报本所备案,Action,0,否
LR007772,包含责任方,0.95,LE188216,第三条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR642385,包含责任方,0.95,LE188216,第三条,Section,0,LE931556,上市公司董事会,PartyWithResponsibility,0,否
LR904933,受限于,0.15,LE106996,报本所备案,Action,0,LE435602,投资产品不得质押,Restriction,0,否
LR340583,受限于,0.15,LE106996,报本所备案,Action,0,LE888172,不得影响募集资金投资计划正常进行,Restriction,0,否
LR741741,规定行为,0.15,LE261137,第十一条,Section,0,LE829041,使用募集资金,Action,0,否
LR666548,包含责任方,0.95,LE261137,第十一条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR534963,规定行为,0.15,LE223063,第二十条,Section,0,LE460253,审议通过,Action,0,否
LR930083,规定行为,0.15,LE223063,第二十条,Section,0,LE584323,公告,Action,0,否
LR708303,规定行为,0.15,LE223063,第二十条,Section,0,LE941076,报告本所,Action,0,否
LR336265,包含责任方,0.95,LE223063,第二十条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR903303,包含责任方,0.95,LE223063,第二十条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR485926,履行,1.0,LE108727,上市公司控制的其他企业,PartyWithResponsibility,12,LE410813,适用本办法,Responsibility,12,否
LR593358,依据,0.3,LE636150,第一条,Section,10,LE074530,《上海证券交易所股票上市规则》,Law,10,否
LR163573,依据,0.3,LE636150,第一条,Section,10,LE337956,《上市公司监管指引第2号——上市公司募集资金管理和使用的监管要求》,Law,10,否
LR634487,依据,0.3,LE636150,第一条,Section,10,LE666571,《关于前次募集资金使用情况报告的规定》,Law,10,否
LR852094,依据,0.3,LE636150,第一条,Section,10,LE862559,《上市公司证券发行管理办法》,Law,10,否
LR270803,依据,0.3,LE636150,第一条,Section,10,LE662219,《首次公开发行股票并上市管理办法》,Law,10,否
LR084276,依据,0.3,LE636150,第一条,Section,10,LE468537,《证券法》,Law,10,否
LR384524,依据,0.3,LE636150,第一条,Section,10,LE337476,《公司法》,Law,10,否
LR647107,包含责任方,0.95,LE636150,第一条,Section,10,LE587548,本所上市公司,PartyWithResponsibility,10,否
LR852974,执行,1.0,LE818240,会计师事务所,PartyWithResponsibility,0,LE637601,违反本办法,Action,3,是
LR956745,履行,1.0,LE818240,会计师事务所,PartyWithResponsibility,0,LE826607,应当予以积极配合,Responsibility,0,否
LR653116,履行,1.0,LE818240,会计师事务所,PartyWithResponsibility,0,LE888052,应当持续关注募集资金实际管理与使用情况,Responsibility,0,否
LR343802,包含责任方,0.95,LE515261,第十四条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR486264,包含责任方,0.95,LE515261,第十四条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR112845,包含责任方,0.95,LE515261,第十四条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR460112,包含责任方,0.95,LE515261,第十四条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR861894,规定行为,0.15,LE515261,第十四条,Section,0,LE970110,董事会审议通过,Action,0,否
LR080689,包含责任方,0.95,LE515261,第十四条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR436097,规定行为,0.15,LE515261,第十四条,Section,0,LE433592,使用闲置募集资金投资产品,Action,0,否
LR117958,受限于,0.15,LE194339,集中管理,Action,0,LE601276,募集资金专户不得存放非募集资金,Restriction,0,否
LR992821,包含责任方,0.95,LE527929,第三十三条,Section,0,LE825440,本所,PartyWithResponsibility,0,否
LR835372,依据,0.3,LE527929,第三十三条,Section,0,LE025252,本办法,Law,0,否
LR411942,规定行为,0.15,LE103135,第二十一条,Section,0,LE067712,公告改变原因,Action,0,否
LR543934,规定行为,0.15,LE103135,第二十一条,Section,0,LE941076,报告本所,Action,0,否
LR698937,规定行为,0.15,LE103135,第二十一条,Section,0,LE460253,审议通过,Action,0,否
LR809686,包含责任方,0.95,LE103135,第二十一条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR967253,规定行为,0.15,LE103135,第二十一条,Section,0,LE471605,变更募投项目,Action,0,否
LR938188,规定行为,0.15,LE103135,第二十一条,Section,0,LE923177,发表明确同意意见,Action,0,否
LR393920,包含责任方,0.95,LE103135,第二十一条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR822896,包含责任方,0.95,LE103135,第二十一条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR874088,包含责任方,0.95,LE103135,第二十一条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR944878,包含责任方,0.95,LE103135,第二十一条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR886536,执行,1.0,LE330515,实际控制人,PartyWithResponsibility,3,LE637601,违反本办法,Action,3,否
LR874006,执行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE637601,违反本办法,Action,3,否
LR671463,执行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE880614,纵容,Action,3,否
LR015987,执行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE970998,协助,Action,3,否
LR867347,执行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE061879,参与,Action,3,否
LR268714,履行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE312170,自觉维护上市公司募集资金安全,Responsibility,3,否
LR189829,履行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE289501,督促上市公司规范使用募集资金,Responsibility,3,否
LR966991,履行,1.0,LE522310,高级管理人员,PartyWithResponsibility,3,LE636456,应当勤勉尽责,Responsibility,3,否
LR714420,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE637601,违反本办法,Action,3,是
LR391749,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE977841,出具专项核查报告,Action,0,否
LR461718,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE625246,并履行必要的信息披露义务,Responsibility,0,否
LR724186,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE095375,应充分关注转让价款收取和使用情况,Responsibility,0,否
LR926441,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE073848,置换募投项目,Action,0,否
LR226936,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE907041,披露,Action,0,否
LR401366,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE360924,提交董事会审议,Action,0,否
LR777200,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE067712,公告改变原因,Action,0,否
LR329999,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE941076,报告本所,Action,0,否
LR570263,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE471605,变更募投项目,Action,0,否
LR339552,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE771865,必须经董事会、股东大会审议通过,Responsibility,0,否
LR598135,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE360846,应当按照招股说明书或者募集说明书所列用途使用,Responsibility,0,否
LR110188,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE070247,应当参照变更募投项目履行相应程序及披露义务,Responsibility,0,否
LR792867,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE572426,用于非募投项目,Action,0,否
LR238397,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE186039,使用情况应在年度报告中披露,Responsibility,0,否
LR186701,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE738411,应在董事会会议后2个交易日内报告本所并公告,Responsibility,0,否
LR202749,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE923177,发表明确同意意见,Action,0,否
LR903744,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE721433,应当经董事会审议通过,Responsibility,0,否
LR881081,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE039907,用于其他募投项目,Action,0,否
LR152855,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE741634,发表明确同意意见,Responsibility,0,否
LR955407,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE672073,为股东提供网络投票表决方式,Responsibility,0,否
LR680663,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE460253,审议通过,Action,0,否
LR598108,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE437955,归还银行贷款,Action,0,否
LR649509,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE503969,补充流动资金,Action,0,否
LR693779,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE533133,独立董事、监事会、保荐机构发表明确同意意见,Responsibility,0,否
LR520630,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE970110,董事会审议通过,Action,0,否
LR093319,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE433592,使用闲置募集资金投资产品,Action,0,否
LR808172,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE834952,报告,Action,0,否
LR761448,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE935215,履行募集资金专户存储三方监管协议,Action,0,否
LR361685,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE584323,公告,Action,0,否
LR484547,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE535877,查询募集资金专户资料,Action,0,否
LR864403,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE625566,应当及时通知保荐机构,Responsibility,0,否
LR426146,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE250745,抄送保荐机构,Action,0,否
LR524941,履行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE594633,应当将募集资金集中存放于募集资金专户,Responsibility,0,否
LR198520,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE336976,签订募集资金专户存储三方监管协议,Action,0,否
LR001406,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE088340,持续督导,Action,0,否
LR522051,执行,1.0,LE115461,保荐机构,PartyWithResponsibility,0,LE631844,履行保荐职责,Action,0,否
LR611308,受限于,0.15,LE906433,暂时用于补充流动资金,Action,0,LE173324,不得变相改变募集资金用途,Restriction,0,否
LR254662,依照,0.15,LE074201,中国证监会,RegulatoryAuthority,5,LE074530,《上海证券交易所股票上市规则》,Law,10,是
LR981176,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE818240,会计师事务所,PartyWithResponsibility,0,是
LR815011,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE115461,保荐机构,PartyWithResponsibility,0,是
LR468964,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE522310,高级管理人员,PartyWithResponsibility,3,是
LR693663,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE216832,监事,PartyWithResponsibility,3,是
LR310109,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE176946,董事,PartyWithResponsibility,3,是
LR826646,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE330515,实际控制人,PartyWithResponsibility,3,是
LR713440,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE969417,控股股东,PartyWithResponsibility,3,是
LR117948,监管,1.0,LE074201,中国证监会,RegulatoryAuthority,5,LE526783,上市公司,PartyWithResponsibility,0,是
LR525800,规定行为,0.15,LE390385,第六条,Section,0,LE088340,持续督导,Action,0,否
LR679875,规定行为,0.15,LE390385,第六条,Section,0,LE631844,履行保荐职责,Action,0,否
LR524456,依据,0.3,LE390385,第六条,Section,0,LE025252,本办法,Law,0,否
LR684754,依据,0.3,LE390385,第六条,Section,0,LE991993,《证券发行上市保荐业务管理办法》,Law,0,否
LR308444,包含责任方,0.95,LE390385,第六条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR936021,规定行为,0.15,LE629586,第十条,Section,0,LE834952,报告,Action,0,否
LR322936,规定行为,0.15,LE629586,第十条,Section,0,LE662610,决定是否继续实施,Action,0,否
LR861279,规定行为,0.15,LE629586,第十条,Section,0,LE829041,使用募集资金,Action,0,否
LR867778,包含责任方,0.95,LE629586,第十条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR627611,规定行为,0.15,LE892711,第三十四条,Section,0,LE060328,废止,Action,0,否
LR614932,依据,0.3,LE892711,第三十四条,Section,0,LE437820,《上市公司日常信息披露工作备忘录第七号——上市公司超募资金的使用与管理》,Law,0,否
LR008318,包含责任方,0.95,LE892711,第三十四条,Section,0,LE825440,本所,PartyWithResponsibility,0,否
LR800461,规定行为,0.15,LE892711,第三十四条,Section,0,LE961441,施行,Action,0,否
LR223308,包含监管机构,0.15,LE762522,第二十五条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR216567,包含责任方,0.95,LE762522,第二十五条,Section,0,LE115461,保荐机构,PartyWithResponsibility,0,否
LR944811,包含责任方,0.95,LE762522,第二十五条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR679801,包含责任方,0.95,LE762522,第二十五条,Section,0,LE625658,独立董事,PartyWithResponsibility,0,否
LR689124,规定行为,0.15,LE762522,第二十五条,Section,0,LE073848,置换募投项目,Action,0,否
LR570631,规定行为,0.15,LE762522,第二十五条,Section,0,LE941076,报告本所,Action,0,否
LR844728,规定行为,0.15,LE762522,第二十五条,Section,0,LE360924,提交董事会审议,Action,0,否
LR350373,包含责任方,0.95,LE762522,第二十五条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR617428,履行,1.0,LE587548,本所上市公司,PartyWithResponsibility,10,LE784449,保护投资者的合法权益,Responsibility,10,否
LR444873,履行,1.0,LE587548,本所上市公司,PartyWithResponsibility,10,LE577355,提高募集资金使用效益,Responsibility,10,否
LR010890,规定行为,0.15,LE560233,第十三条,Section,0,LE584323,公告,Action,0,否
LR391076,规定行为,0.15,LE560233,第十三条,Section,0,LE106996,报本所备案,Action,0,否
LR690676,包含责任方,0.95,LE560233,第十三条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR524653,规定行为,0.15,LE560233,第十三条,Section,0,LE203453,注销产品专用结算账户,Action,0,否
LR790259,规定行为,0.15,LE560233,第十三条,Section,0,LE655633,进行现金管理,Action,0,否
LR742576,依据,0.3,LE844605,第十八条,Section,0,LE025252,本办法,Law,0,否
LR687413,规定行为,0.15,LE844605,第十八条,Section,0,LE681143,投资于主营业务,Action,0,否
LR037719,规定行为,0.15,LE844605,第十八条,Section,0,LE953750,将超募资金用于在建项目及新项目,Action,0,否
LR205571,包含责任方,0.95,LE844605,第十八条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR075277,规定行为,0.15,LE977114,第二十七条,Section,0,LE184717,在本所网站披露,Action,0,否
LR910363,包含监管机构,0.15,LE977114,第二十七条,Section,0,LE416790,本所,RegulatoryAuthority,0,否
LR061274,规定行为,0.15,LE977114,第二十七条,Section,0,LE680862,出具鉴证报告,Action,0,否
LR989586,规定行为,0.15,LE977114,第二十七条,Section,0,LE586572,聘请会计师事务所,Action,0,否
LR553277,规定行为,0.15,LE977114,第二十七条,Section,0,LE941076,报告本所,Action,0,否
LR675235,规定行为,0.15,LE977114,第二十七条,Section,0,LE460253,审议通过,Action,0,否
LR830780,包含责任方,0.95,LE977114,第二十七条,Section,0,LE459023,监事会,PartyWithResponsibility,0,否
LR084435,包含责任方,0.95,LE977114,第二十七条,Section,0,LE211520,董事会,PartyWithResponsibility,0,否
LR553244,规定行为,0.15,LE977114,第二十七条,Section,0,LE784812,解释具体原因,Action,0,否
LR494981,包含责任方,0.95,LE977114,第二十七条,Section,0,LE526783,上市公司,PartyWithResponsibility,0,否
LR171781,包含责任方,0.95,LE977114,第二十七条,Section,0,LE931556,上市公司董事会,PartyWithResponsibility,0,否
LR247939,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE834952,报告,Action,0,否
LR641501,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE935215,履行募集资金专户存储三方监管协议,Action,0,否
LR393471,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE584323,公告,Action,0,否
LR508828,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE535877,查询募集资金专户资料,Action,0,否
LR413845,履行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE625566,应当及时通知保荐机构,Responsibility,0,否
LR597476,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE250745,抄送保荐机构,Action,0,否
LR754448,履行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE594633,应当将募集资金集中存放于募集资金专户,Responsibility,0,否
LR376423,执行,1.0,LE746112,商业银行,PartyWithResponsibility,0,LE336976,签订募集资金专户存储三方监管协议,Action,0,否
LR598768,包含,0.2,LE624850,第六章,Chapter,0,LE892711,第三十四条,Section,0,否
LR757751,包含,0.2,LE624850,第六章,Chapter,0,LE527929,第三十三条,Section,0,否
LR516505,包含,0.2,LE624850,第六章,Chapter,0,LE933280,第三十二条,Section,0,否
LR148191,包含,0.2,LE624850,第六章,Chapter,0,LE747047,第三十一条,Section,3,是
LR072784,包含,0.2,LE624850,第六章,Chapter,0,LE992635,第三十条,Section,12,是
